state,No Population,Rural Area,Urban Clusters,Urban Center
Baden-WÃ¼rttemberg,73.20862773005304,15.97451668106881,8.036395059218219,2.78046052965994
Bavaria,79.99404584697827,13.971649071381135,4.9866031557011015,1.0477019259394966
Berlin,74.77876106194691,12.831858407079647,7.52212389380531,4.867256637168142
Brandenburg,92.9022891263768,5.768118156909406,1.216064274564171,0.1135284421496174
Bremen,73.20717131474103,16.93227091633466,7.171314741035857,2.689243027888446
Hamburg,54.20711974110033,28.802588996763756,13.592233009708737,3.3980582524271843
Hesse,80.05131105813906,12.922710193527534,5.337158094622439,1.6888206537109614
Lower Saxony,89.0895410082769,8.181000014753833,2.272827867038463,0.4566311099308045
Mecklenburg-Western Pomerania,95.77718650759591,3.3816839756244095,0.7338425886190026,0.1072869281606729
North Rhine-Westphalia,71.04550132218272,15.969752628082379,7.581382625346829,5.4033634243880835
Rhineland-Palatinate,68.67824878387769,19.015983321751214,8.931202223766505,3.3745656706045866
Saarland,100.0,0.0,0.0,0.0
Saxony,76.39232139778149,14.299672394965226,7.293522616242313,2.0144835910109777
Saxony-Anhalt,91.13432265460798,7.191686304481667,1.4372757573827568,0.2367152835275885
Schleswig-Holstein,85.73049287785201,10.18530190344132,3.390898777259549,0.6933064414471196
Thuringia,76.85179163686024,14.069714508681797,7.010470182740456,2.0680236717175
